Gene Set Name,Gene Set Description,Gene Symbol,Gene Description
stromal cell of ovary - marker genes,CellGuide's computational marker genes for 'stromal cell of ovary' in uterus tissue,COL3A1,"Id: ENSG00000168542, Name: collagen type III alpha 1 chain"
,,COL1A1,"Id: ENSG00000108821, Name: collagen type I alpha 1 chain"
,,RBP1,"Id: ENSG00000114115, Name: retinol binding protein 1"
,,IGFBP2,"Id: ENSG00000115457, Name: insulin like growth factor binding protein 2"
,,IGF1,"Id: ENSG00000017427, Name: insulin like growth factor 1"
,,PCOLCE,"Id: ENSG00000106333, Name: procollagen C-endopeptidase enhancer"
,,DCN,"Id: ENSG00000011465, Name: decorin"
,,FBLN1,"Id: ENSG00000077942, Name: fibulin 1"
,,LUM,"Id: ENSG00000139329, Name: lumican"
,,PTGDS,"Id: ENSG00000107317, Name: prostaglandin D2 synthase"
,,PPIB,"Id: ENSG00000166794, Name: peptidylprolyl isomerase B"
,,COL1A2,"Id: ENSG00000164692, Name: collagen type I alpha 2 chain"
,,MDK,"Id: ENSG00000110492, Name: midkine"
,,C1R,"Id: ENSG00000159403, Name: complement C1r"
,,APCDD1,"Id: ENSG00000154856, Name: APC down-regulated 1"
,,VCAN,"Id: ENSG00000038427, Name: versican"
,,SPARC,"Id: ENSG00000113140, Name: secreted protein acidic and cysteine rich"
,,APOE,"Id: ENSG00000130203, Name: apolipoprotein E"
,,SERPINF1,"Id: ENSG00000132386, Name: serpin family F member 1"
,,COL6A1,"Id: ENSG00000142156, Name: collagen type VI alpha 1 chain"
,,IGF2,"Id: ENSG00000167244, Name: insulin like growth factor 2"
,,ISLR,"Id: ENSG00000129009, Name: immunoglobulin superfamily containing leucine rich repeat"
,,PTN,"Id: ENSG00000105894, Name: pleiotrophin"
,,KCNQ1OT1,"Id: ENSG00000269821, Name: KCNQ1 opposite strand/antisense transcript 1"
,,PDGFRA,"Id: ENSG00000134853, Name: platelet derived growth factor receptor alpha"
,,RP11-84E17.1,"Id: ENSG00000279483, Name: RP11-84E17.1"
,,NR2F2,"Id: ENSG00000185551, Name: nuclear receptor subfamily 2 group F member 2"
,,NACA,"Id: ENSG00000196531, Name: nascent polypeptide associated complex subunit alpha"
,,RORB,"Id: ENSG00000198963, Name: RAR related orphan receptor B"
,,CFD,"Id: ENSG00000197766, Name: complement factor D"
,,LMO4,"Id: ENSG00000143013, Name: LIM domain only 4"
,,MME,"Id: ENSG00000196549, Name: membrane metalloendopeptidase"
